date,orgn fs1,orgn fs2,orgn fs3,orgn gw1,orgn gw2,orgn gw3
7/22/2018,6.70E-09,6.70E-09,6.70E-09,6.70E-09,6.70E-09,6.70E-09
7/23/2018,6.84E-09,6.84E-09,6.84E-09,6.84E-09,6.84E-09,6.84E-09
7/24/2018,7.02E-09,7.02E-09,7.02E-09,7.02E-09,7.02E-09,7.02E-09
7/25/2018,6.03E-09,6.03E-09,6.03E-09,6.03E-09,6.03E-09,6.03E-09
7/26/2018,6.69E-09,6.69E-09,6.69E-09,6.69E-09,6.69E-09,6.69E-09
7/27/2018,6.06E-09,6.06E-09,6.06E-09,6.06E-09,6.06E-09,6.06E-09
7/28/2018,5.64E-09,5.64E-09,5.64E-09,5.64E-09,5.64E-09,5.64E-09
7/29/2018,6.58E-09,6.58E-09,6.58E-09,6.58E-09,6.58E-09,6.58E-09
7/30/2018,5.74E-09,5.74E-09,5.74E-09,5.74E-09,5.74E-09,5.74E-09
7/31/2018,6.61E-09,6.61E-09,6.61E-09,6.61E-09,6.61E-09,6.61E-09
8/1/2018,6.92E-09,6.92E-09,6.92E-09,6.92E-09,6.92E-09,6.92E-09
8/2/2018,5.94E-09,5.94E-09,5.94E-09,5.94E-09,5.94E-09,5.94E-09
8/3/2018,5.71E-09,5.71E-09,5.71E-09,5.71E-09,5.71E-09,5.71E-09
8/4/2018,6.84E-09,6.84E-09,6.84E-09,6.84E-09,6.84E-09,6.84E-09
8/5/2018,6.95E-09,6.95E-09,6.95E-09,6.95E-09,6.95E-09,6.95E-09
8/6/2018,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09
8/7/2018,6.41E-09,6.41E-09,6.41E-09,6.41E-09,6.41E-09,6.41E-09
8/8/2018,6.75E-09,6.75E-09,6.75E-09,6.75E-09,6.75E-09,6.75E-09
8/9/2018,5.74E-09,5.74E-09,5.74E-09,5.74E-09,5.74E-09,5.74E-09
8/10/2018,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09
8/11/2018,5.50E-09,5.50E-09,5.50E-09,5.50E-09,5.50E-09,5.50E-09
8/12/2018,5.60E-09,5.60E-09,5.60E-09,5.60E-09,5.60E-09,5.60E-09
8/13/2018,5.42E-09,5.42E-09,5.42E-09,5.42E-09,5.42E-09,5.42E-09
8/14/2018,6.57E-09,6.57E-09,6.57E-09,6.57E-09,6.57E-09,6.57E-09
8/15/2018,5.75E-09,5.75E-09,5.75E-09,5.75E-09,5.75E-09,5.75E-09
8/16/2018,5.20E-09,5.20E-09,5.20E-09,5.20E-09,5.20E-09,5.20E-09
8/17/2018,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09
8/18/2018,5.22E-09,5.22E-09,5.22E-09,5.22E-09,5.22E-09,5.22E-09
8/19/2018,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09
8/20/2018,5.17E-09,5.17E-09,5.17E-09,5.17E-09,5.17E-09,5.17E-09
8/21/2018,4.86E-09,4.86E-09,4.86E-09,4.86E-09,4.86E-09,4.86E-09
