date,solp fs1,solp fs2,solp fs3,solp gw1,solp gw2,solp gw3
4/18/2018,9.34E-05,9.34E-05,9.34E-05,9.34E-05,9.34E-05,9.34E-05
4/19/2018,1.89E-05,1.89E-05,1.89E-05,1.89E-05,1.89E-05,1.89E-05
4/20/2018,4.20E-06,4.20E-06,4.20E-06,4.20E-06,4.20E-06,4.20E-06
4/21/2018,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07
4/22/2018,1.16E-08,1.16E-08,1.16E-08,1.16E-08,1.16E-08,1.16E-08
4/23/2018,1.28E-10,1.28E-10,1.28E-10,1.28E-10,1.28E-10,1.28E-10
4/24/2018,1.33E-12,1.33E-12,1.33E-12,1.33E-12,1.33E-12,1.33E-12
4/25/2018,2.23E-14,2.23E-14,2.23E-14,2.23E-14,2.23E-14,2.23E-14
4/26/2018,3.12E-16,3.12E-16,3.12E-16,3.12E-16,3.12E-16,3.12E-16
4/27/2018,3.87E-18,3.87E-18,3.87E-18,3.87E-18,3.87E-18,3.87E-18
4/28/2018,5.65E-20,5.65E-20,5.65E-20,5.65E-20,5.65E-20,5.65E-20
4/29/2018,1.02E-21,1.02E-21,1.02E-21,1.02E-21,1.02E-21,1.02E-21
4/30/2018,1.56E-23,1.56E-23,1.56E-23,1.56E-23,1.56E-23,1.56E-23
5/1/2018,2.06E-25,2.06E-25,2.06E-25,2.06E-25,2.06E-25,2.06E-25
5/2/2018,2.48E-27,2.48E-27,2.48E-27,2.48E-27,2.48E-27,2.48E-27
5/3/2018,2.74E-29,2.74E-29,2.74E-29,2.74E-29,2.74E-29,2.74E-29
5/4/2018,4.79E-31,4.79E-31,4.79E-31,4.79E-31,4.79E-31,4.79E-31
5/5/2018,6.93E-33,6.93E-33,6.93E-33,6.93E-33,6.93E-33,6.93E-33
5/6/2018,8.74E-35,8.74E-35,8.74E-35,8.74E-35,8.74E-35,8.74E-35
5/7/2018,1.28E-36,1.28E-36,1.28E-36,1.28E-36,1.28E-36,1.28E-36
5/8/2018,1.67E-38,1.67E-38,1.67E-38,1.67E-38,1.67E-38,1.67E-38
5/9/2018,0,0,0,0,0,0
5/10/2018,0,0,0,0,0,0
5/11/2018,0,0,0,0,0,0
5/12/2018,0,0,0,0,0,0
5/13/2018,0,0,0,0,0,0
5/14/2018,0,0,0,0,0,0
5/15/2018,0,0,0,0,0,0
5/16/2018,0,0,0,0,0,0
5/17/2018,0,0,0,0,0,0
5/18/2018,0,0,0,0,0,0
5/19/2018,0,0,0,0,0,0
5/20/2018,0,0,0,0,0,0
5/21/2018,0,0,0,0,0,0
5/22/2018,0,0,0,0,0,0
5/23/2018,0,0,0,0,0,0
5/24/2018,0,0,0,0,0,0
5/25/2018,0,0,0,0,0,0
5/26/2018,0,0,0,0,0,0
5/27/2018,0,0,0,0,0,0
5/28/2018,0,0,0,0,0,0
5/29/2018,0,0,0,0,0,0
5/30/2018,0,0,0,0,0,0
5/31/2018,0,0,0,0,0,0
6/1/2018,0,0,0,0,0,0
6/2/2018,0,0,0,0,0,0
6/3/2018,0,0,0,0,0,0
6/4/2018,0,0,0,0,0,0
6/5/2018,0,0,0,0,0,0
6/6/2018,1.17E-07,1.17E-07,1.17E-07,1.17E-07,1.17E-07,1.17E-07
6/7/2018,1.78E-07,1.78E-07,1.78E-07,1.78E-07,1.78E-07,1.78E-07
6/8/2018,2.70E-07,2.70E-07,2.70E-07,2.70E-07,2.70E-07,2.70E-07
6/9/2018,2.41E-07,2.41E-07,2.41E-07,2.41E-07,2.41E-07,2.41E-07
6/10/2018,6.67E-09,6.67E-09,6.67E-09,6.67E-09,6.67E-09,6.67E-09
6/11/2018,2.39E-07,2.39E-07,2.39E-07,2.39E-07,2.39E-07,2.39E-07
6/12/2018,1.75E-07,1.75E-07,1.75E-07,1.75E-07,1.75E-07,1.75E-07
6/13/2018,9.74E-08,9.74E-08,9.74E-08,9.74E-08,9.74E-08,9.74E-08
6/14/2018,2.06E-07,2.06E-07,2.06E-07,2.06E-07,2.06E-07,2.06E-07
6/15/2018,2.19E-07,2.19E-07,2.19E-07,2.19E-07,2.19E-07,2.19E-07
6/16/2018,2.06E-07,2.06E-07,2.06E-07,2.06E-07,2.06E-07,2.06E-07
6/17/2018,1.89E-07,1.89E-07,1.89E-07,1.89E-07,1.89E-07,1.89E-07
6/18/2018,1.92E-07,1.92E-07,1.92E-07,1.92E-07,1.92E-07,1.92E-07
6/19/2018,2.14E-07,2.14E-07,2.14E-07,2.14E-07,2.14E-07,2.14E-07
6/20/2018,3.30E-07,3.30E-07,3.30E-07,3.30E-07,3.30E-07,3.30E-07
6/21/2018,2.78E-07,2.78E-07,2.78E-07,2.78E-07,2.78E-07,2.78E-07
6/22/2018,2.19E-07,2.19E-07,2.19E-07,2.19E-07,2.19E-07,2.19E-07
6/23/2018,3.28E-07,3.28E-07,3.28E-07,3.28E-07,3.28E-07,3.28E-07
6/24/2018,2.48E-07,2.48E-07,2.48E-07,2.48E-07,2.48E-07,2.48E-07
6/25/2018,3.43E-07,3.43E-07,3.43E-07,3.43E-07,3.43E-07,3.43E-07
6/26/2018,2.61E-07,2.61E-07,2.61E-07,2.61E-07,2.61E-07,2.61E-07
6/27/2018,2.32E-07,2.32E-07,2.32E-07,2.32E-07,2.32E-07,2.32E-07
6/28/2018,3.80E-07,3.80E-07,3.80E-07,3.80E-07,3.80E-07,3.80E-07
6/29/2018,4.48E-07,4.48E-07,4.48E-07,4.48E-07,4.48E-07,4.48E-07
6/30/2018,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07
7/1/2018,4.17E-07,4.17E-07,4.17E-07,4.17E-07,4.17E-07,4.17E-07
7/2/2018,3.07E-07,3.07E-07,3.07E-07,3.07E-07,3.07E-07,3.07E-07
7/3/2018,2.26E-07,2.26E-07,2.26E-07,2.26E-07,2.26E-07,2.26E-07
7/4/2018,3.57E-07,3.57E-07,3.57E-07,3.57E-07,3.57E-07,3.57E-07
7/5/2018,4.29E-07,4.29E-07,4.29E-07,4.29E-07,4.29E-07,4.29E-07
7/6/2018,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07
7/7/2018,2.54E-07,2.54E-07,2.54E-07,2.54E-07,2.54E-07,2.54E-07
7/8/2018,3.88E-07,3.88E-07,3.88E-07,3.88E-07,3.88E-07,3.88E-07
7/9/2018,2.67E-07,2.67E-07,2.67E-07,2.67E-07,2.67E-07,2.67E-07
7/10/2018,2.19E-07,2.19E-07,2.19E-07,2.19E-07,2.19E-07,2.19E-07
7/11/2018,2.12E-07,2.12E-07,2.12E-07,2.12E-07,2.12E-07,2.12E-07
7/12/2018,2.06E-07,2.06E-07,2.06E-07,2.06E-07,2.06E-07,2.06E-07
7/13/2018,3.56E-07,3.56E-07,3.56E-07,3.56E-07,3.56E-07,3.56E-07
7/14/2018,2.47E-07,2.47E-07,2.47E-07,2.47E-07,2.47E-07,2.47E-07
7/15/2018,1.84E-07,1.84E-07,1.84E-07,1.84E-07,1.84E-07,1.84E-07
7/16/2018,3.54E-07,3.54E-07,3.54E-07,3.54E-07,3.54E-07,3.54E-07
7/17/2018,4.10E-07,4.10E-07,4.10E-07,4.10E-07,4.10E-07,4.10E-07
7/18/2018,2.45E-07,2.45E-07,2.45E-07,2.45E-07,2.45E-07,2.45E-07
7/19/2018,3.82E-07,3.82E-07,3.82E-07,3.82E-07,3.82E-07,3.82E-07
